
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
1,Cory Abbott\abbotco01,25,CHC,3,.267,55,.500,.000,0.0%,33.3%,0.0%,68.4,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.1
2,José Abreu\abreujo02,34,CHW,659,.358,126,.293,.219,4.6%,21.7%,9.3%,92.0,49.4%,21.7%,47.3%,25.6%,0.90,25.2%,57.7%,17.1%,1.6,0.9%,30.1
3,Ronald Acuna Jr.\acunaro01,23,ATL,360,.420,156,.311,.313,6.7%,23.6%,13.6%,93.8,54.9%,29.0%,31.8%,30.9%,0.47,33.2%,55.3%,11.5%,2.6,1.4%,22.4
4,Willy Adames\adamewi01,25,TOT,555,.358,124,.331,.219,4.5%,28.1%,10.3%,89.5,44.7%,21.6%,37.1%,36.0%,0.59,30.7%,52.9%,16.4%,3.1,2.3%,16.9
5,Willy Adames\adamewi01,25,TBR,142,.282,84,.276,.174,3.5%,35.9%,7.0%,88.5,44.4%,18.5%,30.9%,39.5%,0.45,25.9%,56.8%,17.3%,0.3,0.2%,-1.0
6,Willy Adames\adamewi01,25,MIL,413,.384,137,.349,.236,4.8%,25.4%,11.4%,89.8,44.8%,22.6%,39.1%,34.9%,0.64,32.2%,51.7%,16.1%,2.8,2.2%,17.9
7,Matt Adams\adamsma01,32,COL,40,.221,11,.222,.028,0.0%,22.5%,10.0%,82.2,29.6%,11.1%,51.9%,29.6%,1.08,29.6%,59.3%,11.1%,-0.3,-0.1%,-5.8
8,Riley Adams\adamsri03,25,TOT,120,.341,113,.351,.162,1.7%,33.3%,12.5%,88.4,42.4%,25.4%,45.8%,28.8%,0.84,23.7%,59.3%,16.9%,0.9,-0.2%,0.7
9,Riley Adams\adamsri03,25,TOR,30,.155,-21,.188,.071,0.0%,40.0%,6.7%,86.3,50.0%,25.0%,37.5%,37.5%,0.60,37.5%,56.3%,6.3%,-0.5,-0.3%,-6.5
10,Riley Adams\adamsri03,25,WSN,90,.403,159,.415,.197,2.2%,31.1%,14.4%,89.2,39.5%,25.6%,48.8%,25.6%,0.95,18.6%,60.5%,20.9%,1.5,0.0%,7.2
11,Jo Adell\adelljo01,22,LAA,140,.311,93,.298,.162,2.9%,22.9%,5.7%,85.8,32.0%,26.3%,46.5%,18.2%,0.88,27.3%,58.6%,14.1%,0.9,0.1%,7.8
12,Joan Adon\adonjo01,22,WSN,2,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8
13,Ehire Adrianza\adriaeh01,31,ATL,209,.326,91,.290,.154,2.4%,20.1%,10.1%,84.6,32.9%,27.8%,39.6%,21.5%,0.67,27.8%,57.6%,14.6%,-0.1,-0.2%,6.1
14,Jesus Aguilar\aguilje01,31,MIA,510,.338,106,.279,.198,4.3%,18.2%,9.0%,89.6,41.0%,26.7%,33.3%,32.0%,0.50,33.1%,53.4%,13.5%,1.3,0.1%,19.3
15,Nick Ahmed\ahmedni01,31,ARI,473,.280,66,.279,.118,1.1%,22.0%,7.2%,86.2,27.9%,21.6%,47.4%,21.6%,0.93,31.8%,51.4%,16.8%,-1.2,-0.4%,-17.6
16,Keegan Akin\akinke01,26,BAL,2,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
17,Shogo Akiyama\akiyash01,33,CIN,183,.248,35,.268,.049,0.0%,21.9%,7.7%,86.1,31.7%,27.4%,55.6%,13.7%,1.28,18.5%,57.3%,24.2%,-1.1,-0.7%,-7.6
18,R.J. Alaniz\alanirj01,30,CIN,1,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
19,Hanser Alberto\alberha01,28,KCR,255,.298,80,.293,.133,0.8%,10.2%,1.6%,83.9,30.3%,24.9%,35.3%,24.9%,0.60,33.5%,52.5%,14.0%,0.3,-0.4%,-2.5
20,Ozzie Albies\albieoz01,24,ATL,686,.346,103,.278,.229,4.4%,18.7%,6.9%,89.5,37.4%,22.8%,31.3%,38.0%,0.46,33.7%,47.8%,18.5%,1.4,1.2%,17.7
21,Sandy Alcantara\alcansa01,25,MIA,64,.080,-82,.154,.017,0.0%,70.3%,4.7%,60.6,7.1%,6.7%,40.0%,6.7%,3.00,20.0%,40.0%,40.0%,-1.3,-0.3%,-15.0
22,Sergio Alcantara\alcanse01,24,CHC,255,.286,66,.280,.123,2.0%,29.0%,11.8%,86.8,33.6%,21.5%,46.3%,23.5%,0.88,32.2%,50.3%,17.4%,-1.3,-0.3%,-8.4
